2025-12-17T05:35:40.834Z [debug]: Order 6148942364865 (Date: 2024-10-25): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:40.835Z [debug]: Order 6149039685825 (Date: 2024-10-25): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:35.272Z [debug]: Order 6043435696288 (Date: 2024-10-25): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:35.272Z [debug]: Order 6043865317536 (Date: 2024-10-25): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:35.272Z [debug]: Order 6043902279840 (Date: 2024-10-25): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:35.273Z [debug]: Order 6043925250208 (Date: 2024-10-25): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:35.273Z [debug]: Order 6043939635360 (Date: 2024-10-25): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:35.273Z [debug]: Order 6044012871840 (Date: 2024-10-25): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:35.273Z [debug]: Order 6044668428448 (Date: 2024-10-25): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:56.383Z [debug]: Order 6148942364865 (Date: 2024-10-25): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:56.383Z [debug]: Order 6149039685825 (Date: 2024-10-25): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
