2025-12-10T18:18:45.511Z [debug]: Order 5994015686891 (Date: 2024-11-18): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:45.511Z [debug]: Order 5994018341099 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.512Z [debug]: Order 5994120020203 (Date: 2024-11-18): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:45.703Z [debug]: Order 5994439246059 (Date: 2024-11-18): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:45.703Z [debug]: Order 5994479419627 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.704Z [debug]: Order 5994502717675 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.704Z [debug]: Order 5994514546923 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.704Z [debug]: Order 5994590437611 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.704Z [debug]: Order 5994646143211 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.705Z [debug]: Order 5994647159019 (Date: 2024-11-18): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:45.705Z [debug]: Order 5994654793963 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.705Z [debug]: Order 5994660462827 (Date: 2024-11-18): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:45.705Z [debug]: Order 5994666688747 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.705Z [debug]: Order 5994670555371 (Date: 2024-11-18): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:45.705Z [debug]: Order 5994674749675 (Date: 2024-11-18): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:45.706Z [debug]: Order 5994681368811 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.706Z [debug]: Order 5994694541547 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:45.706Z [debug]: Order 5994701979883 (Date: 2024-11-18): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
