2025-12-17T05:35:35.285Z [debug]: Order 6060830949569 (Date: 2024-08-30): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:35.285Z [debug]: Order 6060964774081 (Date: 2024-08-30): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:35.285Z [debug]: Order 6061100368065 (Date: 2024-08-30): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:35.286Z [debug]: Order 6061391610049 (Date: 2024-08-30): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:35.286Z [debug]: Order 6062546321601 (Date: 2024-08-30): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:22.368Z [debug]: Order 5965440123040 (Date: 2024-08-30): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:22.368Z [debug]: Order 5965595934880 (Date: 2024-08-30): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:22.369Z [debug]: Order 5965661307040 (Date: 2024-08-30): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:22.551Z [debug]: Order 5966040105120 (Date: 2024-08-30): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:22.552Z [debug]: Order 5966201847968 (Date: 2024-08-30): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:50.181Z [debug]: Order 6060830949569 (Date: 2024-08-30): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:50.182Z [debug]: Order 6060964774081 (Date: 2024-08-30): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:50.182Z [debug]: Order 6061100368065 (Date: 2024-08-30): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:50.182Z [debug]: Order 6061391610049 (Date: 2024-08-30): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:50.182Z [debug]: Order 6062546321601 (Date: 2024-08-30): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
