2025-12-17T05:35:39.739Z [debug]: Order 6125664272577 (Date: 2024-10-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:39.739Z [debug]: Order 6125744193729 (Date: 2024-10-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:39.926Z [debug]: Order 6126014660801 (Date: 2024-10-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:39.927Z [debug]: Order 6126582595777 (Date: 2024-10-09): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:33.039Z [debug]: Order 6023539097760 (Date: 2024-10-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:33.039Z [debug]: Order 6023729316000 (Date: 2024-10-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:33.039Z [debug]: Order 6023942406304 (Date: 2024-10-09): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:33.040Z [debug]: Order 6023996801184 (Date: 2024-10-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:33.040Z [debug]: Order 6024174141600 (Date: 2024-10-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:33.040Z [debug]: Order 6024179810464 (Date: 2024-10-09): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:55.153Z [debug]: Order 6125664272577 (Date: 2024-10-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:23:55.153Z [debug]: Order 6125744193729 (Date: 2024-10-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:55.352Z [debug]: Order 6126014660801 (Date: 2024-10-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:23:55.352Z [debug]: Order 6126582595777 (Date: 2024-10-09): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
