2025-12-17T05:35:39.385Z [debug]: Order 6118825066689 (Date: 2024-10-04): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:39.385Z [debug]: Order 6118888734913 (Date: 2024-10-04): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:39.385Z [debug]: Order 6119308001473 (Date: 2024-10-04): Payment Gateways: [Gokwik Netbanking] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:30.061Z [debug]: Order 6017267368096 (Date: 2024-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:30.244Z [debug]: Order 6017295188128 (Date: 2024-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:30.434Z [debug]: Order 6017347977376 (Date: 2024-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:30.618Z [debug]: Order 6017492517024 (Date: 2024-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:30.805Z [debug]: Order 6017494646944 (Date: 2024-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:30.985Z [debug]: Order 6017501560992 (Date: 2024-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:31.170Z [debug]: Order 6017535049888 (Date: 2024-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:31.352Z [debug]: Order 6017665695904 (Date: 2024-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:31.353Z [debug]: Order 6017749811360 (Date: 2024-10-04): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:31.353Z [debug]: Order 6017796505760 (Date: 2024-10-04): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:31.353Z [debug]: Order 6017889468576 (Date: 2024-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.752Z [debug]: Order 6118825066689 (Date: 2024-10-04): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.752Z [debug]: Order 6118888734913 (Date: 2024-10-04): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.752Z [debug]: Order 6119308001473 (Date: 2024-10-04): Payment Gateways: [Gokwik Netbanking] | isCOD: false | isPrepaid: true | Cancelled: false
