2025-12-17T05:35:35.470Z [debug]: Order 6065696571585 (Date: 2024-09-01): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:35.658Z [debug]: Order 6065887740097 (Date: 2024-09-01): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: true
2025-12-17T05:35:35.659Z [debug]: Order 6066125897921 (Date: 2024-09-01): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:35.659Z [debug]: Order 6066283643073 (Date: 2024-09-01): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:35.660Z [debug]: Order 6066342199489 (Date: 2024-09-01): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:35.660Z [debug]: Order 6066428412097 (Date: 2024-09-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:22.554Z [debug]: Order 5968010641568 (Date: 2024-09-01): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:22.555Z [debug]: Order 5968566681760 (Date: 2024-09-01): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:22.555Z [debug]: Order 5968833872032 (Date: 2024-09-01): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:22.555Z [debug]: Order 5968953180320 (Date: 2024-09-01): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:22.743Z [debug]: Order 5969127243936 (Date: 2024-09-01): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:22.744Z [debug]: Order 5969182752928 (Date: 2024-09-01): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:22.744Z [debug]: Order 5969371234464 (Date: 2024-09-01): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:22.744Z [debug]: Order 5969410326688 (Date: 2024-09-01): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:50.400Z [debug]: Order 6065696571585 (Date: 2024-09-01): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:23:50.597Z [debug]: Order 6065887740097 (Date: 2024-09-01): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: true
2025-12-17T06:23:50.598Z [debug]: Order 6066125897921 (Date: 2024-09-01): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:50.598Z [debug]: Order 6066283643073 (Date: 2024-09-01): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:50.598Z [debug]: Order 6066342199489 (Date: 2024-09-01): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:50.598Z [debug]: Order 6066428412097 (Date: 2024-09-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
