2025-12-17T05:35:41.201Z [debug]: Order 6173679616193 (Date: 2024-11-11): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:41.376Z [debug]: Order 6173739712705 (Date: 2024-11-11): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:35:41.376Z [debug]: Order 6174049435841 (Date: 2024-11-11): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:38.509Z [debug]: Order 6063813558432 (Date: 2024-11-11): Payment Gateways: [Cards, UPI, NB by PayU India, manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:38.510Z [debug]: Order 6063846195360 (Date: 2024-11-11): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:38.696Z [debug]: Order 6064005349536 (Date: 2024-11-11): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:38.875Z [debug]: Order 6064010035360 (Date: 2024-11-11): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:38.875Z [debug]: Order 6064017899680 (Date: 2024-11-11): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:38.875Z [debug]: Order 6064099131552 (Date: 2024-11-11): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:38.876Z [debug]: Order 6064195371168 (Date: 2024-11-11): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:38.876Z [debug]: Order 6064294068384 (Date: 2024-11-11): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:56.792Z [debug]: Order 6173679616193 (Date: 2024-11-11): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:57.385Z [debug]: Order 6173739712705 (Date: 2024-11-11): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T06:23:57.386Z [debug]: Order 6174049435841 (Date: 2024-11-11): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
