2025-12-17T05:35:41.021Z [debug]: Order 6165903114433 (Date: 2024-11-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:41.022Z [debug]: Order 6165922939073 (Date: 2024-11-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:41.022Z [debug]: Order 6166073082049 (Date: 2024-11-06): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:41.022Z [debug]: Order 6166205137089 (Date: 2024-11-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:37.356Z [debug]: Order 6058157047968 (Date: 2024-11-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:37.594Z [debug]: Order 6058290118816 (Date: 2024-11-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:37.594Z [debug]: Order 6058294935712 (Date: 2024-11-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:37.595Z [debug]: Order 6058355851424 (Date: 2024-11-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:37.595Z [debug]: Order 6058403659936 (Date: 2024-11-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:37.595Z [debug]: Order 6058502291616 (Date: 2024-11-06): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:37.595Z [debug]: Order 6058689593504 (Date: 2024-11-06): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:37.595Z [debug]: Order 6058714398880 (Date: 2024-11-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:56.585Z [debug]: Order 6165903114433 (Date: 2024-11-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:56.585Z [debug]: Order 6165922939073 (Date: 2024-11-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:56.585Z [debug]: Order 6166073082049 (Date: 2024-11-06): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:56.585Z [debug]: Order 6166205137089 (Date: 2024-11-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
