2025-12-17T05:37:29.117Z [debug]: Order 6825590980801 (Date: 2025-11-17): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:29.117Z [debug]: Order 6827844468929 (Date: 2025-11-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:50.063Z [debug]: Order 6552054005920 (Date: 2025-11-17): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:50.063Z [debug]: Order 6552065441952 (Date: 2025-11-17): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:50.063Z [debug]: Order 6552124784800 (Date: 2025-11-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:50.063Z [debug]: Order 6552131928224 (Date: 2025-11-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:50.063Z [debug]: Order 6552244486304 (Date: 2025-11-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:50.063Z [debug]: Order 6552300912800 (Date: 2025-11-17): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:50.063Z [debug]: Order 6552350851232 (Date: 2025-11-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:50.063Z [debug]: Order 6552428085408 (Date: 2025-11-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:50.063Z [debug]: Order 6552736202912 (Date: 2025-11-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:41.888Z [debug]: Order 6825590980801 (Date: 2025-11-17): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:41.888Z [debug]: Order 6827844468929 (Date: 2025-11-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
