2025-12-17T05:35:39.383Z [debug]: Order 6117178802369 (Date: 2024-10-03): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:39.384Z [debug]: Order 6117224906945 (Date: 2024-10-03): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:39.384Z [debug]: Order 6117990236353 (Date: 2024-10-03): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:39.384Z [debug]: Order 6118010912961 (Date: 2024-10-03): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:39.384Z [debug]: Order 6118113771713 (Date: 2024-10-03): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.326Z [debug]: Order 6015866536096 (Date: 2024-10-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.326Z [debug]: Order 6016006160544 (Date: 2024-10-03): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:29.326Z [debug]: Order 6016014876832 (Date: 2024-10-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.508Z [debug]: Order 6016016875680 (Date: 2024-10-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:29.695Z [debug]: Order 6016078479520 (Date: 2024-10-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:29.877Z [debug]: Order 6016115114144 (Date: 2024-10-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:29.878Z [debug]: Order 6016319586464 (Date: 2024-10-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.878Z [debug]: Order 6016327876768 (Date: 2024-10-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.878Z [debug]: Order 6016762773664 (Date: 2024-10-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.751Z [debug]: Order 6117178802369 (Date: 2024-10-03): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:23:54.751Z [debug]: Order 6117224906945 (Date: 2024-10-03): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.751Z [debug]: Order 6117990236353 (Date: 2024-10-03): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.751Z [debug]: Order 6118010912961 (Date: 2024-10-03): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.751Z [debug]: Order 6118113771713 (Date: 2024-10-03): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
