2025-12-17T05:35:43.443Z [debug]: Order 5706969284801 (Date: 2024-01-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:43.443Z [debug]: Order 5707213537473 (Date: 2024-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:43.659Z [debug]: Order 5707624382657 (Date: 2024-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:43.837Z [debug]: Order 5707712102593 (Date: 2024-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:43.837Z [debug]: Order 5707744379073 (Date: 2024-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:20.850Z [debug]: Order 5611055906976 (Date: 2024-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:20.850Z [debug]: Order 5611300847776 (Date: 2024-01-15): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:20.850Z [debug]: Order 5611462131872 (Date: 2024-01-15): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:58.218Z [debug]: Order 5706969284801 (Date: 2024-01-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:58.218Z [debug]: Order 5707213537473 (Date: 2024-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:58.399Z [debug]: Order 5707624382657 (Date: 2024-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:23:58.576Z [debug]: Order 5707712102593 (Date: 2024-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:23:58.577Z [debug]: Order 5707744379073 (Date: 2024-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
