2025-12-17T05:37:23.735Z [debug]: Order 6628118102209 (Date: 2025-08-10): Payment Gateways: [1Cashfree Payments(UPI,Cards,Net Banking,Wallets)] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:23.735Z [debug]: Order 6628119085249 (Date: 2025-08-10): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:23.735Z [debug]: Order 6628135370945 (Date: 2025-08-10): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:23.735Z [debug]: Order 6628138418369 (Date: 2025-08-10): Payment Gateways: [Gokwik Netbanking] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:23.735Z [debug]: Order 6628301177025 (Date: 2025-08-10): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:15.588Z [debug]: Order 6423018471584 (Date: 2025-08-10): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:15.588Z [debug]: Order 6423033020576 (Date: 2025-08-10): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:15.791Z [debug]: Order 6423054123168 (Date: 2025-08-10): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:50:15.792Z [debug]: Order 6423128047776 (Date: 2025-08-10): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:15.792Z [debug]: Order 6423304536224 (Date: 2025-08-10): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:15.792Z [debug]: Order 6423657709728 (Date: 2025-08-10): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:36.403Z [debug]: Order 6628118102209 (Date: 2025-08-10): Payment Gateways: [1Cashfree Payments(UPI,Cards,Net Banking,Wallets)] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:36.403Z [debug]: Order 6628119085249 (Date: 2025-08-10): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:36.403Z [debug]: Order 6628135370945 (Date: 2025-08-10): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:36.404Z [debug]: Order 6628138418369 (Date: 2025-08-10): Payment Gateways: [Gokwik Netbanking] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:36.404Z [debug]: Order 6628301177025 (Date: 2025-08-10): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
