2025-12-17T05:35:39.202Z [debug]: Order 6110328914113 (Date: 2024-09-28): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:39.202Z [debug]: Order 6110329831617 (Date: 2024-09-28): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: false
2025-12-17T05:35:39.202Z [debug]: Order 6110345101505 (Date: 2024-09-28): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: false
2025-12-17T05:35:39.202Z [debug]: Order 6110593319105 (Date: 2024-09-28): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:28.018Z [debug]: Order 6009316114592 (Date: 2024-09-28): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:28.210Z [debug]: Order 6009506300064 (Date: 2024-09-28): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:28.211Z [debug]: Order 6009616728224 (Date: 2024-09-28): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:28.211Z [debug]: Order 6009693569184 (Date: 2024-09-28): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:28.395Z [debug]: Order 6009955516576 (Date: 2024-09-28): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:23:54.486Z [debug]: Order 6110328914113 (Date: 2024-09-28): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.486Z [debug]: Order 6110329831617 (Date: 2024-09-28): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.486Z [debug]: Order 6110345101505 (Date: 2024-09-28): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.486Z [debug]: Order 6110593319105 (Date: 2024-09-28): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
