2025-12-17T05:37:28.288Z [debug]: Order 6601426632897 (Date: 2025-07-26): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:28.288Z [debug]: Order 6601513271489 (Date: 2025-07-26): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:28.289Z [debug]: Order 6601560228033 (Date: 2025-07-26): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.900Z [debug]: Order 6403167420576 (Date: 2025-07-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:44.900Z [debug]: Order 6403201630368 (Date: 2025-07-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.900Z [debug]: Order 6403219194016 (Date: 2025-07-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:44.900Z [debug]: Order 6403310911648 (Date: 2025-07-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.900Z [debug]: Order 6403311141024 (Date: 2025-07-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:45.078Z [debug]: Order 6403385458848 (Date: 2025-07-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:45.257Z [debug]: Order 6403495362720 (Date: 2025-07-26): Payment Gateways: [Cash on Delivery (COD), manual] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:45.257Z [debug]: Order 6403495690400 (Date: 2025-07-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:45.258Z [debug]: Order 6403655532704 (Date: 2025-07-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:45.442Z [debug]: Order 6403803414688 (Date: 2025-07-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:45.614Z [debug]: Order 6403858071712 (Date: 2025-07-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:40.409Z [debug]: Order 6601426632897 (Date: 2025-07-26): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:40.409Z [debug]: Order 6601513271489 (Date: 2025-07-26): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:40.409Z [debug]: Order 6601560228033 (Date: 2025-07-26): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: false
