2025-12-17T05:36:02.825Z [debug]: Order 5820565979329 (Date: 2024-03-28): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:36:02.825Z [debug]: Order 5820780183745 (Date: 2024-03-28): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:36:02.825Z [debug]: Order 5821747790017 (Date: 2024-03-28): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.953Z [debug]: Order 5715548799136 (Date: 2024-03-28): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:48:34.953Z [debug]: Order 5715646840992 (Date: 2024-03-28): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.953Z [debug]: Order 5715724468384 (Date: 2024-03-28): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.953Z [debug]: Order 5715734757536 (Date: 2024-03-28): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:34.954Z [debug]: Order 5715805896864 (Date: 2024-03-28): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.954Z [debug]: Order 5716114079904 (Date: 2024-03-28): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.954Z [debug]: Order 5716197834912 (Date: 2024-03-28): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:17.789Z [debug]: Order 5820565979329 (Date: 2024-03-28): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:17.789Z [debug]: Order 5820780183745 (Date: 2024-03-28): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:17.789Z [debug]: Order 5821747790017 (Date: 2024-03-28): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
